Date,Open,High,Low,Close,Adj Close,Volume
2016-12-12,64.320000,64.989998,64.010002,64.300003,51.106606,655078
2016-12-19,64.250000,66.739998,63.759998,66.620003,52.950581,1545593
2016-12-26,66.620003,67.910004,64.699997,65.180000,51.806049,1016819
2017-01-02,64.879997,65.349998,61.070000,62.400002,49.596462,2248254
2017-01-09,62.599998,64.559998,61.400002,63.380001,50.375378,1996219
2017-01-16,63.320000,68.779999,63.250000,68.650002,54.564049,2372856
2017-01-23,68.300003,71.190002,67.019997,70.500000,56.034458,2112086
2017-01-30,70.379997,70.870003,68.889999,70.510002,56.042412,1684288
2017-02-06,70.070000,71.320000,68.699997,71.320000,56.686214,1673732
2017-02-13,71.599998,72.919998,69.519997,72.099998,57.306156,1389085
2017-02-20,71.089996,73.269997,67.820000,70.339996,55.907284,3352452
2017-02-27,70.769997,71.699997,65.000000,67.750000,53.848713,9233470
2017-03-06,67.839996,70.500000,67.250000,70.150002,55.756279,3478806
2017-03-13,70.349998,71.040001,69.019997,70.070000,55.692688,3451025
2017-03-20,70.000000,71.129997,66.300003,68.550003,54.484573,2293350
2017-03-27,67.830002,73.160004,67.169998,72.160004,57.353851,2139600
2017-04-03,72.300003,76.220001,72.120003,76.220001,60.580811,2279081
2017-04-10,76.349998,76.459999,73.430000,75.389999,59.921101,1517660
2017-04-17,75.389999,75.410004,71.870003,72.500000,57.624088,1513657
2017-04-24,73.860001,75.500000,70.070000,71.559998,56.876965,2999728
2017-05-01,71.559998,72.809998,69.620003,72.110001,57.314114,2268122
2017-05-08,72.250000,72.250000,64.510002,65.059998,52.710945,3235851
2017-05-15,64.660004,67.660004,64.660004,66.800003,54.120678,2588108
2017-05-22,66.800003,67.320000,65.209999,65.669998,53.205158,1881039
2017-05-29,65.540001,68.379997,65.129997,67.330002,54.550083,2634286
2017-06-05,67.330002,67.410004,62.299999,64.400002,52.176224,6842252
2017-06-12,64.320000,66.870003,63.540001,65.629997,53.172749,3737284
2017-06-19,66.029999,67.680000,64.790001,64.949997,52.621822,2576018
2017-06-26,65.050003,67.209999,61.950001,63.209999,51.212093,3394614
2017-07-03,63.299999,63.980000,62.610001,63.419998,51.382233,2136315
2017-07-10,63.790001,66.129997,63.299999,64.599998,52.338253,2384103
2017-07-17,64.599998,66.540001,63.549999,63.950001,51.811638,2433265
2017-07-24,64.110001,67.739998,63.619999,66.510002,53.885719,3301857
2017-07-31,66.589996,67.250000,65.570000,66.900002,54.201694,1734657
2017-08-07,67.000000,67.540001,64.440002,65.000000,52.662331,1590202
2017-08-14,65.500000,67.900002,64.820000,67.339996,54.558174,1804086
2017-08-21,67.199997,70.000000,66.129997,68.559998,55.546600,1981386
2017-08-28,68.430000,68.430000,65.550003,66.470001,53.853310,2134739
2017-09-04,65.989998,66.099998,63.169998,64.339996,52.127605,2063314
2017-09-11,64.760002,69.910004,64.610001,69.570000,56.364902,7395203
2017-09-18,69.919998,72.150002,68.970001,71.550003,57.969078,3235274
2017-09-25,71.650002,75.709999,71.070000,72.750000,58.941303,2392183
2017-10-02,72.889999,73.000000,71.430000,71.540001,57.960976,1544538
2017-10-09,71.550003,73.199997,70.550003,72.900002,59.062832,1578247
2017-10-16,72.839996,72.919998,70.300003,71.830002,58.195930,1591251
2017-10-23,72.309998,82.220001,71.690002,81.650002,66.151985,3762729
2017-10-30,83.260002,83.870003,81.519997,83.809998,67.902000,2208941
2017-11-06,83.919998,84.629997,80.790001,81.919998,66.370750,2701016
2017-11-13,82.410004,83.169998,79.389999,81.339996,65.900826,2263590
2017-11-20,81.040001,85.870003,80.180000,85.419998,69.206406,2394428
2017-11-27,85.720001,88.410004,84.570000,85.360001,69.157791,3933023
2017-12-04,86.690002,86.900002,81.949997,83.800003,67.893898,2858018
2017-12-11,84.110001,86.870003,82.959999,86.410004,70.008492,3506263
2017-12-18,87.190002,88.669998,85.769997,86.250000,69.878868,2530157
2017-12-25,86.250000,87.709999,86.029999,86.029999,69.700623,999114
2018-01-01,86.029999,89.000000,84.620003,88.300003,71.539757,2434489
2018-01-08,88.300003,91.260002,86.800003,90.760002,73.532822,6399022
2018-01-15,91.099998,95.779999,90.699997,95.000000,76.968018,7964631
2018-01-22,95.300003,95.599998,92.239998,94.199997,76.319870,3478844
2018-01-29,94.559998,94.900002,89.519997,89.519997,72.528175,3447620
2018-02-05,88.739998,90.160004,81.379997,83.639999,67.764267,5684062
2018-02-12,85.180000,90.800003,84.900002,90.059998,72.965698,3508015
2018-02-19,91.000000,95.760002,89.379997,93.540001,75.785149,4473936
2018-02-26,94.279999,94.639999,86.139999,86.419998,70.016594,5104212
2018-03-05,85.419998,92.339996,84.820000,88.040001,71.329102,4411093
2018-03-12,89.040001,89.699997,82.300003,82.300003,66.678619,9786039
2018-03-19,82.540001,85.139999,80.620003,81.860001,66.322128,5555146
2018-03-26,81.900002,82.559998,78.820000,79.860001,64.701744,3640142
2018-04-02,79.860001,81.360001,77.559998,80.160004,64.944817,3486698
2018-04-09,80.739998,81.839996,78.720001,80.080002,64.879990,4471605
2018-04-16,78.860001,82.800003,78.320000,81.099998,65.706390,4463099
2018-04-23,81.180000,81.519997,73.500000,75.959999,63.280487,6629132
2018-04-30,75.820000,77.580002,74.379997,74.540001,62.097523,7840577
2018-05-07,75.000000,78.599998,74.860001,77.980003,64.963303,10116580
2018-05-14,78.480003,80.739998,77.519997,79.440002,66.179596,5307055
2018-05-21,79.440002,79.879997,76.400002,78.580002,65.463150,4638198
2018-05-28,78.900002,79.519997,76.919998,79.000000,65.813042,5166284
2018-06-04,79.800003,80.239998,77.220001,78.120003,65.079933,5005110
2018-06-11,78.680000,80.180000,76.739998,76.900002,64.063576,6750256
2018-06-18,76.639999,76.959999,72.220001,73.919998,61.581009,6660352
2018-06-25,73.779999,76.580002,71.419998,76.419998,63.663708,7517939
2018-07-02,75.260002,76.360001,73.239998,75.379997,62.797298,4869491
2018-07-09,75.940002,76.879997,74.660004,76.660004,63.863647,3452472
2018-07-16,76.540001,81.779999,76.279999,80.220001,66.829391,3938321
2018-07-23,79.800003,83.980003,79.239998,82.360001,68.612183,4010432
2018-07-30,82.260002,83.099998,79.419998,79.820000,66.496162,3204127
2018-08-06,80.139999,81.199997,77.260002,77.639999,64.680061,3030340
2018-08-13,77.379997,79.739998,76.160004,76.720001,63.913620,3494284
2018-08-20,77.120003,79.559998,77.059998,78.620003,65.496475,2687841
2018-08-27,79.180000,80.160004,73.180000,73.379997,61.131149,5014395
2018-09-03,73.120003,74.000000,69.059998,69.680000,58.048767,5375225
2018-09-10,69.860001,70.239998,67.919998,69.720001,58.082088,4602863
2018-09-17,69.339996,73.879997,68.820000,72.419998,60.331398,5776986
2018-09-24,71.279999,73.019997,69.300003,69.860001,58.198723,4374429
2018-10-01,70.199997,71.739998,66.599998,66.599998,55.482891,4118730
2018-10-08,66.120003,67.620003,60.939999,61.779999,51.467464,6716342
